Designator,Mid X,Mid Y,Rotation,Layer
C76,111.920219,-78.90183,0.0,top
C77,125.1,-77.9,180.0,top
C78,108.190219,-78.90183,180.0,top
C79,143.917814,-78.24183,0.0,top
C8,172.170219,-77.30183,270.0,top
C80,128.6,-77.9,0.0,top
C81,125.1,-77.9,0.0,bottom
C82,140.097814,-78.29183,180.0,top
C83,135.5,-77.2,180.0,top
C84,138.443,-77.21683,270.0,bottom
C85,158.730219,-79.025,180.0,top
C86,147.743241,-79.81288,90.0,top
C87,117.495805,-79.854617,270.0,top
C88,154.126024,-72.815685,270.0,top
C89,156.550219,-74.93183,270.0,top
C93,161.7,-82.29183,90.0,top
C94,117.199319,-89.061136,90.0,top
C95,156.550219,-77.31183,90.0,top
C96,153.853241,-79.95288,90.0,bottom
C97,120.705569,-83.50564,180.0,bottom
C98,161.660219,-75.10183,90.0,top
C99,158.871541,-71.67253,90.0,bottom
CON1,103.405219,-87.56683,270.0,top
CON2,99.125,-74.85,0.0,top
D1,115.440882,-80.580107,90.0,top
D2,120.416805,-97.648417,90.0,top
D3,151.1,-71.325,90.0,top
D5,176.81,-76.78,0.0,top
D6,144.780219,-101.04183,90.0,top
D7,135.95,-71.05,90.0,top
F1,165.425,-94.25,180.0,top
F2,184.290219,-78.63543,0.0,top
FB1,134.005819,-80.36263,0.0,top
FB11,104.630219,-76.29183,270.0,bottom
FB12,102.630219,-101.19183,270.0,bottom
FB13,170.530219,-87.325,270.0,top
FB14,104.87,-111.69,270.0,bottom
FB2,178.5,-80.825,90.0,top
FB3,166.160219,-70.10183,0.0,top
FB4,176.017419,-69.79623,90.0,top
FB5,188.130219,-95.14183,180.0,top
FB6,188.900219,-105.54183,180.0,top
FB7,188.430219,-81.81683,180.0,top
FB8,188.730219,-92.27183,180.0,top
J1,96.57,-100.85,270.0,top
L1,186.703605,-96.51683,0.0,top
L10,180.595219,-109.8,180.0,top
L11,180.565219,-107.8,180.0,top
L2,187.810219,-103.44183,270.0,top
L3,186.957605,-83.29183,0.0,top
L4,188.020219,-90.14183,270.0,top
L5,110.160219,-72.54383,0.0,top
L6,126.0,-72.61383,0.0,top
L7,141.167814,-72.61383,0.0,top
L8,180.610219,-104.83183,180.0,top
L9,180.610219,-102.73183,180.0,top
P1,195.435,-100.96,0.0,top
P10,154.190219,-107.27183,0.0,top
P11,153.7,-109.85,0.0,top
P12,145.25,-103.575,0.0,top
P13,118.66,-104.23,0.0,top
P14,118.930219,-102.39183,0.0,top
P15,120.530219,-102.34183,0.0,top
P16,120.680219,-104.24183,0.0,top
P2,195.435,-87.63,0.0,top
P3,139.570219,-108.86683,90.0,top
P4,126.930219,-108.91683,90.0,top
P5,191.980219,-110.69183,0.0,top
P7,188.615819,-70.43123,0.0,top
P8,97.822056,-110.672056,0.0,top
P9,124.440219,-95.05183,0.0,top
Q2,145.280219,-87.06683,0.0,bottom
R1,175.190219,-80.19183,180.0,bottom
R100,159.965755,-101.847524,270.0,top
R103,119.807205,-70.964617,180.0,top
R104,120.530219,-91.74183,180.0,bottom
R109,144.780219,-98.84183,270.0,top
R11,173.17,-74.16503,180.0,top
R110,119.630219,-111.14183,90.0,top
R111,123.980219,-93.99183,180.0,bottom
R112,147.680219,-112.17183,180.0,bottom
R114,124.230219,-92.64183,0.0,bottom
R115,124.380219,-89.69183,0.0,bottom
R117,136.190219,-84.05183,270.0,top
R118,146.97,-104.63,0.0,bottom
R12,171.94,-74.7,270.0,top
R13,141.860219,-84.97183,0.0,top
R130,150.3,-84.19183,0.0,top
R14,153.7,-112.15,180.0,bottom
R15,145.850219,-84.49183,180.0,top
R16,145.840219,-82.59183,180.0,top
R17,192.720219,-76.31683,90.0,top
R18,172.45,-71.45,180.0,bottom
R19,140.8,-83.05,90.0,top
R2,175.070219,-81.30183,180.0,top
R20,160.380219,-99.05183,270.0,bottom
R21,162.180219,-95.64183,180.0,bottom
R22,190.370219,-103.51183,270.0,top
R23,190.570219,-90.76183,270.0,top
R24,115.355005,-78.69183,180.0,top
R25,151.1,-68.85,270.0,top
R27,135.95,-68.7,270.0,top
R3,98.45,-99.6,0.0,bottom
R300,177.211205,-78.203617,0.0,top
R301,174.91,-76.82,90.0,top
R302,178.651819,-69.44063,0.0,top
R303,183.383419,-70.09383,90.0,top
R304,171.420005,-68.627817,90.0,top
R305,180.5,-79.5,0.0,top
R32,119.426205,-74.012617,90.0,top
R33,117.851405,-74.012617,270.0,top
R34,135.2,-74.15,90.0,top
R35,133.7,-74.15,270.0,top
R36,150.0,-73.987217,90.0,top
R37,148.8316,-73.987217,270.0,top
R4,176.570219,-81.27183,0.0,top
R43,154.863241,-79.96288,90.0,bottom
R44,153.373241,-78.28288,0.0,bottom
R45,120.755569,-84.60564,180.0,bottom
R46,122.455569,-83.00564,90.0,bottom
R47,159.861541,-71.62253,90.0,bottom
R48,159.913805,-69.288217,90.0,bottom
R49,168.490219,-95.14183,90.0,bottom
R5,166.760219,-80.02183,270.0,bottom
R51,173.255219,-88.55,90.0,top
R52,172.080219,-88.575,270.0,top
R53,172.280219,-96.41683,270.0,top
R54,173.180219,-96.41683,90.0,top
R55,174.715219,-103.34683,0.0,top
R56,174.675219,-102.27683,0.0,top
R57,174.815219,-110.43683,0.0,top
R58,174.845219,-109.48683,0.0,top
R59,175.130219,-105.076817,270.0,top
R6,165.590219,-79.57183,180.0,bottom
R60,172.520219,-102.17183,0.0,top
R61,172.195219,-109.45683,180.0,top
R62,174.130219,-107.96183,270.0,top
R7,166.260219,-72.38183,0.0,bottom
R70,127.360219,-94.05183,0.0,bottom
R71,103.080219,-105.14183,90.0,bottom
R72,103.090219,-110.18183,270.0,top
R73,108.630219,-97.19183,180.0,bottom
R79,110.240219,-97.83183,180.0,bottom
R8,98.45,-102.3,0.0,bottom
R80,102.65,-105.29,90.0,top
R81,101.65,-105.4,90.0,top
R82,97.425,-98.375,0.0,bottom
R83,97.43,-97.3,180.0,bottom
R84,118.530219,-108.94183,180.0,top
R85,118.530019,-106.34683,180.0,top
R87,167.68,-109.9,0.0,bottom
R88,118.530219,-107.64183,180.0,top
R89,167.705219,-108.84183,180.0,bottom
R9,170.73,-74.15,180.0,top
R90,167.47,-104.9,90.0,bottom
R91,145.900219,-97.19183,180.0,top
R92,145.080219,-95.95183,180.0,top
R93,148.305755,-97.287524,180.0,top
R94,168.44,-103.48,180.0,bottom
R97,148.32,-101.9,270.0,top
R98,159.165755,-101.867524,270.0,top
R99,149.375755,-101.897524,270.0,top
SW1,154.725,-112.1,0.0,top
SW2,149.125219,-112.08183,0.0,top
U1,171.790219,-80.82183,180.0,top
U10,167.400219,-74.41183,270.0,top
U11,189.085219,-101.47183,180.0,top
U12,175.36,-73.6,180.0,top
U13,186.755219,-85.51683,0.0,top
U14,180.9525,-74.23,90.0,top
U15,195.435,-74.23,0.0,top
U16,189.055,-88.18183,180.0,top
U17,116.741605,-70.974817,0.0,top
U18,132.6,-70.9,0.0,top
U19,147.7218,-70.964617,0.0,top
U2,183.0,-110.5,0.0,top
U20,158.530219,-82.24183,0.0,top
U21,158.910219,-75.67183,0.0,top
U22,151.421005,-79.064417,90.0,top
U23,120.851405,-80.709017,0.0,top
U24,157.368805,-70.361217,90.0,top
U25,120.049319,-89.061136,180.0,top
U26,166.075,-92.375,0.0,top
U27,180.96929,-94.84,180.0,top
U28,180.91929,-89.5,180.0,top
U29,172.715219,-92.34683,0.0,top
